English,Marathi
reserve,राखीव
satisfy,समाधानी
pollution,प्रदूषण
lawn,लॉन
depending,अवलंबून
wisdom,शहाणपण
since,तेव्हापासून
comfort,आराम
plot,प्लॉट
vulnerable,असुरक्षित
explosion,स्फोट
tail,शेपटी
differ,भिन्न
fellow,फेलो
sustain,टिकवून ठेवा
doubt,शंका
stability,स्थिरता
fantasy,कल्पनारम्य
obligation,बंधन
God,देव
damage,नुकसान
bike,दुचाकी
dining,जेवणाचे
guide,#VALUE!
custom,#VALUE!
ill,आजारी
celebrity,सेलिब्रिटी
leather,लेदर
given,दिले
framework,फ्रेमवर्क
beat,बीट
owe,देणे
slight,किंचित
witness,साक्षीदार
tendency,प्रवृत्ती
load,लोड
crack,क्रॅक
briefly,#VALUE!
derive,व्युत्पन्न
speaker,स्पीकर
scandal,#VALUE!
fifteen,#VALUE!
scheme,योजना
jazz,जाझ
in,मध्ये
elderly,वृद्ध
celebration,उत्सव
can,करू शकता
evolution,उत्क्रांती
fighter,सैनिक
publicly,सार्वजनिकपणे
store,स्टोअर
trace,ट्रेस
rid,सुटका
detective,#VALUE!
closer,जवळ
limitation,मर्यादा
besides,याशिवाय
soup,सूप
oven,ओव्हन
rapid,रॅपिड
chase,पाठलाग
sophisticated,अत्याधुनिक
tribe,जमाती
pipe,पाईप
deer,#VALUE!
illustration,उदाहरण
ok,ठीक आहे
arrest,अटक
mm-hmm,मिमी-हम्म
uniform,एकसमान
transmission,संसर्ग
storage,संचयन
pile,ढीग
survivor,वाचलेले
resemble,साम्य आहे
incredible,अविश्वसनीय
impress,प्रभाव
economist,अर्थशास्त्रज्ञ
efficient,कार्यक्षम
fifty,पन्नास
shade,सावली
opera,#VALUE!
calculate,गणना करा
preference,प्राधान्य
guideline,मार्गदर्शक सूचना
consume,वापर
maintenance,देखभाल
formation,निर्मिती
glove,हातमोजा
scholarship,शिष्यवृत्ती
educate,शिकवणे
proportion,प्रमाण
appointment,नियुक्ती
fund,निधी
conviction,खात्री
myth,मिथक
solar,सौर
vessel,भांडे
wealthy,श्रीमंत
friendship,मैत्री
membership,सदस्यता
craft,हस्तकला
qualify,#VALUE!
French,फ्रेंच
earnings,कमाई
waste,कचरा
asleep,झोपलेले
porch,पोर्च
controversial,विवादास्पद
painful,वेदनादायक
congressman,कॉंग्रेसमन
mama,मामा
monitor,मॉनिटर
surprise,आश्चर्य
infant,अर्भक
cow,गाय
proposed,प्रस्तावित
sufficient,पुरेसे
oak,ओक
terrorist,दहशतवादी
mall,मॉल
punishment,शिक्षा
helpful,उपयुक्त
ongoing,चालू आहे
admission,प्रवेश
frequency,वारंवारता
ratio,गुणोत्तर
delay,विलंब
privacy,गोपनीयता
trick,युक्ती
etc,इ
circuit,सर्किट
musician,संगीतकार
sue,दावा
purchase,#VALUE!
aide,सहाय्यक
modest,विनम्र
helicopter,हेलिकॉप्टर
empire,साम्राज्य
detailed,तपशीलवार
efficiency,कार्यक्षमता
humor,विनोद
sanctions,मंजूरी
badly,वाईट रीतीने
tennis,टेनिस
emission,उत्सर्जन
desperate,हताश
garlic,लसूण
contest,स्पर्धा
strengthen,मजबूत करा
demonstration,प्रात्यक्षिक
restriction,निर्बंध
Irish,आयरिश
hunter,शिकारी
standing,उभे
handful,मूठभर
explode,एकदम बाहेर पडणे
prompt,प्रॉमप्ट
absorb,शोषून घ्या
suspect,संशयित
eager,उत्सुक
temporary,तात्पुरता
commissioner,आयुक्त
diamond,डायमंड
curious,#VALUE!
differently,वेगळ्या पद्धतीने
across,ओलांडून
reservation,#VALUE!
downtown,डाउनटाउन
adjustment,समायोजन
composition,रचना
relative,नातेवाईक
tiger,वाघ
fabric,#VALUE!
assert,ठामपणे
discrimination,भेदभाव
float,फ्लोट
request,विनंती
math,गणित
overlook,दुर्लक्ष
corps,कॉर्प्स
sequence,क्रम
complex,कॉम्प्लेक्स
heel,#VALUE!
successfully,यशस्वीरित्या
examination,परीक्षा
horizon,होरायझन
German,जर्मन
absolute,परिपूर्ण
anticipate,अपेक्षित
yours,तुझे
dominant,प्रबळ
bull,बैल
prevention,प्रतिबंध
meter,मीटर
legitimate,कायदेशीर
mask,मुखवटा
bite,चावा
suit,खटला
stroke,स्ट्रोक
assignment,असाइनमेंट
lion,सिंह
sense,सेन्स
rifle,रायफल
brilliant,हुशार
appoint,नेमणूक करा
boom,भरभराट
naked,नग्न
hungry,भुकेले
tight,घट्ट
flame,ज्योत
Palestinian,पॅलेस्टाईन
economics,अर्थशास्त्र
cabin,केबिन
print,मुद्रण
orange,केशरी
wander,भटकंती
taxpayer,करदाता
romantic,रोमँटिक
devote,समर्पित
inflation,चलनवाढ
furthermore,शिवाय
pine,पाइन
agriculture,शेती
legacy,वारसा
extension,विस्तार
barrel,बॅरल
arrival,आगमन
register,नोंदणी करा
flavor,चव
versus,विरुद्ध
risk,जोखीम
flesh,मांस
submit,प्रस्तुत करणे
garage,गॅरेज
cotton,कापूस
operator,ऑपरेटर
nut,नट
rate,दर
blade,ब्लेड
girlfriend,मैत्रीण
fly,उड्डाण करा
dependent,अवलंबून
carbon,कार्बन
heritage,हेरिटेज
organic,सेंद्रिय
ambassador,राजदूत
invasion,आक्रमण
summit,समिट
lifestyle,जीवनशैली
agricultural,कृषी
shrug,श्रग
counsel,सल्ला
associate,सहयोगी
major,प्रमुख
distinguish,वेगळे करा
menu,मेनू
awful,भयानक
wound,जखमे
manufacturing,उत्पादन
consumption,वापर
permission,परवानगी
twelve,बारा
offensive,आक्षेपार्ह
shower,शॉवर
collapse,कोसळणे
undergo,घ्या
function,कार्य
consciousness,शुद्धी
correct,योग्य
dry,कोरडे
frustration,निराशा
operating,ऑपरेटिंग
ease,सुलभता
carrier,वाहक
scope,व्याप्ती
grain,धान्य
distinct,भिन्न
ranch,शेती
workshop,कार्यशाळा
auto,स्वयं
publisher,प्रकाशक
narrator,निवेदक
brush,ब्रश
ban,बंदी
portray,चित्रण
fighting,लढाई
borrow,कर्ज घ्या
seize,जप्त करा
psychology,मानसशास्त्र
subsequent,त्यानंतरचे
exceed,जास्त
crack,क्रॅक
killing,हत्या
deadline,अंतिम मुदत
athletic,अ‍ॅथलेटिक
wise,ज्ञानी
medication,औषधोपचार
repeatedly,वारंवार
frequent,वारंवार
rocket,रॉकेट
fame,कीर्ती
lung,फुफ्फुस
depict,चित्रित करा
persuade,मन वळवा
tent,तंबू
ah,अहो
motivation,प्रेरणा
odds,शक्यता
worried,चिंताग्रस्त
principal,प्राचार्य
firm,टणक
ugly,कुरुप
adequate,पुरेसे
nonetheless,तथापि
criminal,गुन्हेगार
widespread,व्यापक
transformation,परिवर्तन
physically,शारीरिकदृष्ट्या
provider,प्रदाता
admire,प्रशंसा
headline,मथळा
miracle,चमत्कार
institutional,#VALUE!
homeless,बेघर
impressive,प्रभावी
chef,#VALUE!
tactic,युक्ती
measurement,#VALUE!
identification,ओळख
province,प्रांत
moderate,मध्यम
consensus,एकमत
lovely,लवली
comedy,विनोद
shore,किनारा
photographer,छायाचित्रकार
venture,उद्यम
competitor,#VALUE!
nomination,नामनिर्देशन
confusion,गोंधळ
attribute,विशेषता
horror,भय
orientation,अभिमुखता
weekly,साप्ताहिक
legislature,विधिमंडळ
basket,टोपली
crash,आपटी
continued,चालू ठेवले
blanket,ब्लँकेट
orange,केशरी
eagle,गरुड
changing,#VALUE!
mouse,माउस
ethics,नीतिशास्त्र
high,उच्च
ghost,भूत
everyday,रोज
rope,दोरी
formula,सुत्र
exhibit,प्रदर्शन
nerve,मज्जातंतू
cope,सामना करा
running,धावणे
psychologist,मानसशास्त्रज्ञ
acid,आम्ल
principal,प्राचार्य
pet,पाळीव प्राणी
pitch,खेळपट्टी
occupation,व्यवसाय
courage,धैर्य
defeat,पराभव
pregnancy,गर्भधारणा
actress,अभिनेत्री
patch,पॅच
margin,मार्जिन
reinforce,मजबुतीकरण
collective,सामूहिक
brick,वीट
script,स्क्रिप्ट
cooking,स्वयंपाक
tunnel,बोगदा
document,दस्तऐवज
concrete,कंक्रीट
recruit,भरती
grocery,किराणा
lemon,लिंबू
dare,धैर्य
exact,अचूक
battery,बॅटरी
surprisingly,आश्चर्यचकितपणे
artistic,कलात्मक
shit,छंद
indication,संकेत
cookie,कुकी
intensity,तीव्रता
dramatically,नाटकीय
piano,पियानो
concerning,संबंधित
lap,लॅप
inquiry,चौकशी
Catholic,कॅथोलिक
discourse,प्रवचन
laughter,#VALUE!
anniversary,वर्धापनदिन
telescope,दुर्बिणी
swear,शपथ
park,पार्क
charity,धर्मादाय संस्था
clue,सुगावा
grave,गंभीर
narrative,कथा
hypothesis,हायपोथेसिस
upset,नाराज
acceptable,स्वीकार्य
favor,अनुकूलता
couch,#VALUE!
defendant,प्रतिवादी
compose,तयार करा
cool,मस्त
ballot,मतपत्रिका
related,संबंधित
cluster,क्लस्टर
pie,पाई
concern,चिंता
recording,मुद्रित करणे
rail,रेल्वे
decrease,घट
rape,बलात्कार
interrupt,व्यत्यय
architect,आर्किटेक्ट
sigh,उसासा
remark,टिप्पणी
Christian,ख्रिश्चन
invent,शोध
prescription,प्रिस्क्रिप्शन
reward,प्रतिफळ भरून पावले
sacred,पवित्र
organ,अवयव
abroad,परदेशात
devil,भूत
dear,प्रिय
rank,श्रेणी
superior,श्रेष्ठ
military,सैन्य
greatly,मोठ्या प्रमाणात
airplane,विमान
host,होस्ट
habitat,निवासस्थान
coal,कोळसा
soccer,सॉकर
entitle,हक्क
delay,विलंब
instructor,प्रशिक्षक
integrity,सचोटी
shine,चमक
mess,गोंधळ
norm,नियम
allegation,आरोप
pill,गोळी
tight,घट्ट
cry,#VALUE!
okay,ठीक आहे
pleased,आनंद
plain,साधा
inspector,निरीक्षक
forum,मंच
powder,पावडर
sin,पाप
evident,स्पष्ट
sponsor,प्रायोजक
acceptance,स्वीकृती
prosecution,खटला
cognitive,संज्ञानात्मक
presidency,अध्यक्षपद
finance,वित्त
favor,अनुकूलता
magic,जादू
northwest,उत्तर पश्चिम
regulate,नियमन
exclude,वगळा
colonial,वसाहती
rent,भाडे
peer,सरदार
civilian,नागरी
harbor,हार्बर
estimated,अंदाज
rhythm,ताल
midnight,मध्यरात्री
counselor,सल्लागार
highlight,हायलाइट
palace,राजवाडा
trading,व्यापार
compound,कंपाऊंड
bare,#VALUE!
echo,प्रतिध्वनी
integrate,समाकलित करा
slice,स्लाइस
combat,लढाई
shop,दुकान
medium,मध्यम
log,लॉग
surgeon,सर्जन
excuse,माफ करा
ritual,विधी
resign,राजीनामा
net,नेट
excited,उत्साही
lightly,हलके
evil,वाईट
bitter,कडू
export,निर्यात
swing,स्विंग
clay,क्ले
logic,तर्कशास्त्र
virtue,पुण्य
container,कंटेनर
quarterback,#VALUE!
beg,भीक मागणे
salmon,तांबूस पिवळट रंगाचा
greet,अभिवादन
curve,वक्र
mill,मिल
closet,कपाट
interior,आतील
rod,#VALUE!
candy,कँडी
restrict,प्रतिबंधित
initiate,आरंभ करा
reverse,उलट
ethical,नैतिक
secondary,दुय्यम
administrative,प्रशासकीय
confuse,गोंधळ
deadly,प्राणघातक
pig,डुक्कर
suburban,उपनगरीय
medal,पदक
receiver,प्राप्तकर्ता
gaze,टक लावून पाहणे
collapse,कोसळणे
snake,साप
march,मार्च
experimental,प्रायोगिक
civilization,सभ्यता
classical,#VALUE!
fold,फोल्ड
weakness,अशक्तपणा
corridor,कॉरिडॉर
harsh,कठोर
retail,किरकोळ
mortgage,गहाण
harder,कठीण
developer,विकसक
legend,आख्यायिका
excitement,खळबळ
enforce,अंमलबजावणी
murder,खून
occasional,अधूनमधून
cowboy,काउबॉय
minimum,किमान
flash,फ्लॅश
reliable,विश्वसनीय
suburb,उपनगर
melt,वितळणे
fit,फिट
contend,संघर्ष
plead,विनवणी
written,लिहिलेले
flood,पूर
unlike,विपरीत
stem,#VALUE!
inevitable,अपरिहार्य
essence,सार
pitcher,पिचर
tip,टीप
subtle,सूक्ष्म
stretch,ताणून लांब करणे
slam,स्लॅम
unemployment,बेरोजगारी
trunk,खोड
privilege,विशेषाधिकार
burst,#VALUE!
pitch,खेळपट्टी
architecture,आर्किटेक्चर
monthly,मासिक
render,प्रस्तुत करा
mainstream,#VALUE!
frankly,मोकळेपणाने
obstacle,अडथळा
motivate,प्रेरणा
trap,सापळा
drinking,मद्यपान
elbow,कोपर
rumor,अफवा
swallow,गिळणे
legislative,कायदेविषयक
lecture,व्याख्यान
daily,दररोज
jeans,जीन्स
duck,बदक
slope,उतार
t-shirt,टी-शर्ट
inspection,तपासणी
speed,वेग
strict,कठोर
overwhelming,जबरदस्त
assemble,एकत्र करा
missing,गहाळ
seemingly,उशिर
label,लेबल
fraud,फसवणूक
reach,#VALUE!
plain,साधा
protest,निषेध
implementation,अंमलबजावणी
hunt,शोधाशोध
boyfriend,प्रियकर
integration,एकत्रीकरण
rat,उंदीर
wish,शुभेच्छा
broadcast,प्रसारण
Korean,कोरियन
nail,नखे
pen,पेन
consult,सल्ला
companion,सहकारी
encounter,सामना
monster,अक्राळविक्राळ
nightmare,स्वप्न
beef,गोमांस
win,विजय
serving,सर्व्हिंग
globe,ग्लोब
cholesterol,कोलेस्ट्रॉल
parliament,संसद
suite,सूट
continuing,सुरू ठेवत आहे
pop,पॉप
hence,म्हणून
lend,#VALUE!
project,प्रकल्प
sixth,सहावा
mud,चिखल
pump,पंप
flour,पीठ
hostage,ओलिस
ownership,मालकी
facilitate,सुलभ करा
basement,तळघर
correlation,परस्परसंबंध
hurry,घाई करा
insect,कीटक
arena,रिंगण
drift,वाहून नेणे
notice,सूचना
domain,#VALUE!
cave,गुहा
African-American,आफ्रिकन-अमेरिकन
consistently,सातत्याने
leap,लीप
final,अंतिम
effectiveness,प्रभावीपणा
maximum,जास्तीत जास्त
array,रचना
unexpected,अनपेक्षित
curtain,पडदा
sandwich,सँडविच
peaceful,शांततापूर्ण
humanity,मानवता
prediction,भविष्यवाणी
Roman,रोमन
ideology,विचारधारा
railroad,रेल्वेमार्ग
possession,ताबा
horn,हॉर्न
replacement,बदली
announcement,घोषणा
pond,तलाव
conduct,आचरण
forgive,क्षमा करा
past,भूतकाळ
Muslim,मुसलमान
bishop,बिशप
aim,ध्येय
top,शीर्ष
uncomfortable,अस्वस्थ
subject,विषय
laugh,हसणे
rip,आरआयपी
random,यादृच्छिक
herb,औषधी वनस्पती
and/or,आणि/किंवा
dump,डंप
online,ऑनलाइन
warm,उबदार
guilt,दोषी
cattle,गाई - गुरे
strain,मानसिक ताण
sheriff,शेरीफ
behave,वर्तन
response,प्रतिसाद
crystal,क्रिस्टल
execute,अंमलबजावणी
wrist,मनगट
motive,हेतू
painter,चित्रकार
convict,दोषी
simultaneously,एकाच वेळी
recession,मंदी
await,प्रतीक्षा
hallway,हॉलवे
dose,डोस
brush,ब्रश
endure,सहन
counseling,समुपदेशन
civilian,नागरी
suck,शोषून घ्या
accommodate,सामावून घ्या
traditionally,पारंपारिकपणे
spill,गळती
fiscal,वित्तीय
welcome,आपले स्वागत आहे
retired,सेवानिवृत्त
closed,बंद
gentle,कोमल
separation,विभक्तता
guard,रक्षक
warrior,योद्धा
convinced,खात्री पटली
southwest,नैऋत्य
drunk,मद्यधुंद
outdoor,मैदानी
tune,ट्यून
patient,#VALUE!
harm,हानी
cloth,कापड
wherever,जेथे जेथे
administer,प्रशासकीय
short,लहान
supervisor,पर्यवेक्षक
compromise,तडजोड
grateful,कृतज्ञ
Hispanic,हिस्पॅनिक
Japanese,जपानी
mandate,आदेश
average,सरासरी
alarm,गजर
cruise,क्रूझ
injure,इजा
sculpture,शिल्प
award,पुरस्कार
drain,निचरा
temple,मंदिर
dancer,नर्तक
towel,टॉवेल
Islam,इस्लाम
continuous,सतत
govern,शासन
crown,मुकुट
contractor,कंत्राटदार
adolescent,पौगंडावस्थेतील
skirt,परकर
abuse,गैरवर्तन
bacteria,जिवाणू
adoption,दत्तक
intelligent,हुशार
praise,स्तुती
outer,#VALUE!
nearby,जवळपास
glance,दृष्टीक्षेप
grip,#VALUE!
profound,गहन
trigger,ट्रिगर
stuff,सामग्री
uncertainty,अनिश्चितता
driving,ड्रायव्हिंग
enthusiasm,उत्साह
complexity,गुंतागुंत
excuse,माफ करा
cafe,कॅफे
survey,#VALUE!
virtual,आभासी
undermine,अधोरेखित
unity,ऐक्य
chaos,अनागोंदी
commonly,सामान्यत:
endless,अंतहीन
rhetoric,वक्तृत्व
trait,वैशिष्ट्य
pension,पेन्शन
genuine,खरा
sweat,#VALUE!
European,युरोपियन
innovation,नवीनता
no,नाही
matter,बाब
currency,चलन
forty,चाळीस
lobby,लॉबी
theoretical,सैद्धांतिक
bat,वटवाघूळ
makeup,मेकअप
pleasant,सुखद
rebuild,पुन्हा तयार करा
horrible,भयानक
pad,पॅड
suspend,निलंबित
relieve,आराम करा
resume,सारांश
respectively,अनुक्रमे
promotion,जाहिरात
technological,तंत्रज्ञान
galaxy,आकाशगंगा
altogether,एकूणच
apologize,दिलगीर आहोत
research,संशोधन
infrastructure,पायाभूत सुविधा
shuttle,शटल
thumb,अंगठा
questionnaire,प्रश्नावली
sidewalk,पदपथ
businessman,#VALUE!
weird,विचित्र
radiation,रेडिएशन
format,स्वरूप
scare,#VALUE!
bounce,बाऊन्स
doll,बाहुली
attraction,आकर्षण
needle,सुई
Israeli,इस्त्रायली
lock,लॉक
counterpart,समकक्ष
convey,व्यक्त करा
compensation,भरपाई
ship,जहाज
exclusive,अनन्य
twist,पिळणे
precise,तंतोतंत
suspicion,संशय
southeast,दक्षिणपूर्व
walking,चालणे
boost,चालना
scatter,स्कॅटर
rebel,बंडखोर
van,व्हॅन
identical,एकसारखे
shame,लाज
blow,फटका
delicate,नाजूक
Olympics,ऑलिम्पिक
wider,विस्तीर्ण
corruption,भ्रष्टाचार
hook,हुक
lieutenant,लेफ्टनंट
firmly,ठामपणे
structural,#VALUE!
pause,विराम द्या
invisible,अदृश्य
forehead,कपाळ
traveler,प्रवासी
meaningful,अर्थपूर्ण
provided,प्रदान केलेले
colony,कॉलनी
signature,स्वाक्षरी
database,डेटाबेस
clerk,लिपिक
dedicate,समर्पित
determination,निर्धार
signal,सिग्नल
anxious,चिंताग्रस्त
sum,बेरीज
frozen,गोठलेले
juror,ज्युरोर
timing,वेळ
punish,#VALUE!
crawl,क्रॉल
conscious,जाणीव
colonel,#VALUE!
fitness,तंदुरुस्ती
landing,लँडिंग
doctrine,#VALUE!
belly,पोट
pope,पोप
thereby,त्याद्वारे
historically,ऐतिहासिकदृष्ट्या
playoff,प्लेऑफ
poster,पोस्टर
harder,कठीण
acquisition,संपादन
rescue,बचाव
departure,प्रस्थान
summary,सारांश
wrong,चुकीचे
medium,मध्यम
chronic,जुनाट
evil,वाईट
handsome,देखणा
finish,समाप्त
hug,मिठी
wow,व्वा
pursuit,उद्योगधंदा
residence,#VALUE!
loud,जोरात
promising,आशादायक
disk,डिस्क
doorway,दरवाजा
diagnosis,निदान
scout,बालवीर
cancel,रद्द करा
desire,इच्छा
amid,दरम्यान
envelope,लिफाफा
sooner,लवकर
beam,#VALUE!
reluctant,अनिच्छेने
spouse,जोडीदार
fluid,द्रवपदार्थ
exit,बाहेर पडा
mild,सौम्य
electrical,विद्युत
bite,चावा
bath,आंघोळ
decent,सभ्य
ankle,घोट
transaction,व्यवहार
reporting,अहवाल
exhibit,प्रदर्शन
pit,खड्डा
practically,व्यावहारिकदृष्ट्या
oxygen,ऑक्सिजन
racism,वंशवाद
fist,मुठ
garbage,कचरा
ban,बंदी
guitar,गिटार
expertise,#VALUE!
parade,परेड
exploration,अन्वेषण
carve,कोरीव
realm,क्षेत्र
recipient,प्राप्तकर्ता
residential,निवासी
bias,पूर्वाग्रह
sunlight,सूर्यप्रकाश
lamp,दिवा
donor,देणगीदार
repair,दुरुस्ती
sharply,तीव्रपणे
hers,तिचा
guidance,#VALUE!
diplomatic,मुत्सद्दी
classic,क्लासिक
purple,जांभळा
princess,राजकुमारी
candle,#VALUE!
advocate,वकिली
generous,उदार
strip,पट्टी
necessity,गरज
tuck,टक
debate,वादविवाद
statue,पुतळा
frame,फ्रेम
elevator,लिफ्ट
popularity,लोकप्रियता
indicator,सूचक
entity,अस्तित्व
interior,आतील
limb,अंग
bold,#VALUE!
hesitate,संकोच
magic,जादू
starting,प्रारंभ
diminish,कमी करा
inside,आत
readily,सहजगत्या
elegant,मोहक
engagement,प्रतिबद्धता
rage,राग
destination,गंतव्य
realistic,वास्तववादी
intent,हेतू
metaphor,रूपक
automobile,ऑटोमोबाईल
productive,उत्पादक
endorse,मान्यता
isolate,वेगळा
confess,कबूल
wilderness,वाळवंट
minimize,कमी करा
diagnose,निदान
happiness,आनंद
spectrum,स्पेक्ट्रम
hint,इशारा
eating,खाणे
tune,ट्यून
volunteer,#VALUE!
abstract,गोषवारा
revolutionary,क्रांतिकारक
gym,जिम
addition,या व्यतिरिक्त
Russian,रशियन
disappointed,निराश
particle,कण
repair,दुरुस्ती
dynamic,डायनॅमिक
pump,पंप
kiss,चुंबन
value,मूल्य
automatically,आपोआप
overall,एकंदरीत
dawn,पहाट
ruling,राज्य
mechanical,यांत्रिक
feel,वाटते
vitamin,व्हिटॅमिन
silly,मूर्ख
handle,हँडल
artificial,कृत्रिम
outstanding,थकबाकी
age,वय
peel,सोल
rescue,बचाव
oral,#VALUE!
o'clock,रात्री
undertake,हाती घ्या
lonely,एकाकी
servant,नोकर
indigenous,देशी
civic,नागरी
full-time,पूर्ण वेळ
worry,काळजी
cooperate,सहकार्य
casual,प्रासंगिक
behavioral,वर्तणूक
shortage,कमतरता
reception,रिसेप्शन
offering,ऑफर
huh,हं
credibility,विश्वासार्हता
chin,हनुवटी
physics,भौतिकशास्त्र
vanish,गायब
blend,मिश्रण
noon,दुपार
precious,मौल्यवान
command,आज्ञा
wake,वेक
flip,फ्लिप
scary,भयानक
pizza,पिझ्झा
toilet,टॉयलेट
representative,प्रतिनिधी
silk,रेशीम
bid,#VALUE!
gathering,एकत्र जमणे
softly,हळुवारपणे
annually,दरवर्षी
hook,हुक
suffering,दु: ख
accuracy,अचूकता
marine,सागरी
broker,ब्रोकर
hopefully,आशेने
descend,खाली उतर
tide,भरती
trail,माग
stumble,अडखळ
verbal,शाब्दिक
spring,#VALUE!
collector,जिल्हाधिकारी
judicial,न्यायिक
burning,बर्निंग
inventory,यादी
fool,मूर्ख
way,मार्ग
loyalty,निष्ठा
performer,कलाकार
kit,किट
romance,प्रणय
quantity,प्रमाण
alleged,आरोप
therapist,थेरपिस्ट
longtime,दीर्घकाळ
sink,बुडणे
sentiment,भावना
sodium,सोडियम
seal,शिक्का
trailer,झलक
spread,#VALUE!
shared,सामायिक
equity,इक्विटी
banking,#VALUE!
ridiculous,हास्यास्पद
processing,प्रक्रिया
please,कृपया
dilemma,कोंडी
quest,शोध
pillow,उशी
slice,स्लाइस
shock,#VALUE!
lately,अलीकडे
laser,लेसर
rigid,कठोर
ours,आमचे
prohibit,प्रतिबंधित करा
switch,स्विच
genius,अलौकिक बुद्धिमत्ता
starter,स्टार्टर
stem,#VALUE!
primary,प्राथमिक
cart,कार्ट
trap,सापळा
Cuban,क्यूबान
inmate,कैदी
sacrifice,बलिदान
officially,अधिकृतपणे
slap,थप्पड
credit,पत
mysterious,रहस्यमय
Arab,अरब
specialize,विशेषज्ञ
fork,काटा
invitation,आमंत्रण
sail,सेल
regulatory,नियामक
cartoon,व्यंगचित्र
stiff,ताठ
courtroom,कोर्टरूम
import,आयात
tightly,#VALUE!
flash,फ्लॅश
equation,समीकरण
treasure,खजिना
jaw,जबडा
scan,स्कॅन
condemn,निषेध
improved,सुधारित
pickup,पिकअप
dignity,प्रतिष्ठा
inspiration,प्रेरणा
automatic,स्वयंचलित
merchant,व्यापारी
Greek,ग्रीक
hostile,विरोधी
extended,विस्तारित
homeland,जन्मभुमी
gasoline,पेट्रोल
gravity,गुरुत्व
defeat,पराभव
near,जवळ
thoroughly,नख
exchange,एक्सचेंज
bow,#VALUE!
glory,गौरव
reserve,राखीव
optimistic,आशावादी
sergeant,सार्जंट
casualty,कॅज्युअल्टी
concede,कबूल
bloody,रक्तरंजित
barn,धान्याचे कोठार
donate,देणगी
unite,UNITE
pro,समर्थक
senior,वरिष्ठ
feedback,अभिप्राय
grief,दु: ख
spite,अस्पष्ट
steep,उभे
productivity,उत्पादकता
conceive,विचार
tender,निविदा
continent,खंड
hardware,#VALUE!
equip,#VALUE!
wagon,वॅगन
besides,याशिवाय
output,आउटपुट
withdrawal,माघार
elder,मोठा
cage,पिंजरा
coastal,किनारपट्टी
patience,संयम
shallow,उथळ
earthquake,भूकंप
voting,मतदान
input,इनपुट
canvas,कॅनव्हास
slide,स्लाइड
click,क्लिक करा
sword,#VALUE!
mate,सोबती
portfolio,#VALUE!
bug,किडा
refrigerator,रेफ्रिजरेटर
escape,सुटका
heat,उष्णता
northeast,ईशान्य
seventh,#VALUE!
post,पोस्ट
combined,एकत्रित
alien,एलियन
willingness,इच्छा
hidden,#VALUE!
accounting,लेखा
sexually,लैंगिकदृष्ट्या
chop,चिरून घ्या
patrol,गस्त
symbolic,#VALUE!
ruin,नाश
rock,रॉक
drum,ड्रम
opposed,विरोध केला
sheer,सरदार
ideological,वैचारिक
discourage,परावृत्त करा
canal,#VALUE!
prior,#VALUE!
haul,हेल
protective,संरक्षणात्मक
regard,संदर्भ
conspiracy,षडयंत्र
steam,स्टीम
embassy,दूतावास
tackle,टॅकल
tropical,उष्णकटिबंधीय
instantly,त्वरित
bubble,बबल
calm,शांत
sheep,मेंढी
rent,भाडे
accent,उच्चारण
grasp,पकड
modify,सुधारित करा
grin,हसणे
toxic,विषारी
mixed,मिश्र
magnitude,परिमाण
afterward,नंतर
root,मूळ
progressive,पुरोगामी
manipulate,हाताळणी
vaccine,#VALUE!
monument,स्मारक
trace,ट्रेस
verdict,निकाल
flexible,लवचिक
declaration,घोषणा
costume,#VALUE!
drawer,ड्रॉवर
bless,आशीर्वाद
rack,रॅक
secure,सुरक्षित
position,स्थिती
deeper,सखोल
divorce,घटस्फोट
neutral,तटस्थ
fascinating,मोहक
terrific,भयानक
sympathy,सहानुभूती
draft,मसुदा
spectacular,नेत्रदीपक
ounce,औंस
rear,मागील
inn,#VALUE!
collaboration,सहयोग
clip,क्लिप
instruct,सूचना
sock,सॉक्स
rider,स्वार
revelation,प्रकटीकरण
object,ऑब्जेक्ट
accomplishment,कामगिरी
seal,शिक्का
faint,अशक्त
ease,सुलभता
spell,#VALUE!
gospel,सुवार्ता
whale,देवमासा
theatre,थिएटर
coordinator,समन्वयक
talented,प्रतिभावान
alongside,सोबत
cab,टँक्सी
isolation,अलगीकरण
costly,महाग
tragic,दुःखद
loud,जोरात
instinct,अंतःप्रेरणा
seat,सीट
intimate,जिव्हाळ्याचा
underlying,अंतर्निहित
respect,आदर
influential,प्रभावशाली
pastor,चर्चचा मुख्य धर्मोपदेशक
presumably,बहुधा
cook,कूक
skip,वगळा
eleven,अकरा
tens,दहापट
whoever,जो कोणी
ancestor,पूर्वज
safely,सुरक्षितपणे
nominee,नॉमिनी
exotic,विदेशी
minimal,किमान
uncertain,अनिश्चित
Persian,पर्शियन
parental,पालक
orchestra,ऑर्केस्ट्रा
treasury,कोषागार
tolerate,सहन करा
gallon,गॅलन
thigh,मांडी
fortunately,सुदैवाने
ambitious,महत्वाकांक्षी
actively,सक्रियपणे
flexibility,लवचिकता
jar,जर
cocaine,कोकेन
incredibly,विश्वास बसणार नाही इतका
consequently,परिणामी
documentary,माहितीपट
charge,शुल्क
insert,घाला
ambition,महत्वाकांक्षा
functional,#VALUE!
bankruptcy,दिवाळखोरी
runner,धावपटू
execution,अंमलबजावणी
crush,क्रश
buddy,मित्र
workplace,कामाची जागा
